Barreno,Desde (m),Longitud del testigo (m),Ancho verdadero (m),Ag (g/t),Au (g/t)
LC_1,167.5,2.9,2.5,413,3.26
LC_1,170.4,0.4,0.3,1220,2.93
LC_1,215.8,2.9,1,85,3.27
LC_2,129.4,2.1,2,400,3.44
LC_2,131.5,0.3,0.3,1145,3.11
LC_3,262.7,3.7,1.8,142,3.06
LC_3,266.4,1.3,0.5,408,8.35
LC_4,113.5,1.1,0.8,1321,30.41
LC_4,114.6,0.4,0.3,3960,92.8
LC_8,136.1,2,1.8,368,2.49
LC_9,164,2.1,1.7,368,2.49
LC_9,166.1,0.3,0.3,1385,5.8
LC_10,277,2.6,2.2,411,2.46
LC_10,279.6,0.7,0.6,691,4.31
LC_11,280.2,2.2,1.9,164,0.55
LC_12,283.4,3.3,3.1,236,3.13
LC_12,286.7,0.9,0.8,342,5.53
LC_13,283.9,4.4,3.9,121,1.7
LC_13,288.2,0.9,0.8,250,3.3
LC_14,274.9,4.2,3.3,343,2.02
LC_14,279.1,0.9,0.7,706,3.49
LC_14,280,2,1.7,244,3.28
LC_14,282,0.4,0.3,599,10.6
LC_15,297.9,3,2.5,128,1.28
LC_16,288.3,3.3,3,30,0.25
LC_17,273.1,2,2,351,3.76
LC_17,275.1,0.6,0.6,736,7.87
LC_18,316.3,4,3.5,55,3.39
LC_19,301.2,2.9,2.7,14,0.39
LC_20,276.9,10.4,9.9,169,2.14
LC_20,286.3,0.9,0.9,782,5.99
LC_21,264.7,3.8,3.8,94,11.87
LC_21,268.5,0.9,0.9,169,45.2
LC_22,288.3,5.2,4.9,98,6.48
LC_23,277.3,6.1,5.8,426,9.46
LC_23,283.4,2.4,2.2,258,3.9
LC_24,264.2,0.9,0.8,752,36.89
LC_24,265.1,7.7,7.4,215,11.42
LC_24,272.8,2.3,2.1,180,1.62
LC_25,294.3,8.3,8,475,20.71
LC_28,253.2,4.3,4.2,77,0.65
LC_35,218.9,3.3,2.33,248,4.9
LC_35,220.65,0.55,0.39,659,12.05
